model_family,f1_with_sensor5,f1_without_sensor5,f1_drop,recall_with_sensor5,recall_without_sensor5,recall_drop
decision_tree,0.9771715935565165,0.6496390557607001,0.32753253779581637,0.9711386308909529,0.6483164774681803,0.32282215342277254
gradient_boosting,0.9731941803358136,0.6529684601353953,0.3202257202004183,0.9655830753353973,0.6503894048847609,0.3151936704506364
logistic_regression,0.9452500561996361,0.6913604024557557,0.2538896537438804,0.94977915376677,0.7314172686618506,0.21836188510491938
random_forest,0.9771715935565165,0.7295067665946353,0.2476648269618812,0.9711386308909529,0.7415493636050912,0.2295892672858617
balanced_decision_tree,0.96709630239042,0.7441584856211281,0.22293781676929192,0.9685586515307879,0.7612879256965945,0.20727072583419337
dummy_most_frequent,0.42236474755191333,0.42236474755191333,0.0,0.5,0.5,0.0
